,Number_filters,Filter_size,Number_deepNeurons,AUROC
2090,9,6,8,0.979456
2091,9,6,10,0.9839359999999999
2092,9,6,10,0.9956480000000001
2093,9,6,10,0.977792
2094,9,6,12,0.986432
2095,9,6,12,0.96768
2096,9,6,12,0.9801600000000001
2097,9,6,14,0.975296
2098,9,6,14,0.999168
2099,9,6,14,0.9866879999999999
2100,9,6,16,0.976
2101,9,6,16,0.97792
2102,9,6,16,0.986304
2103,9,6,18,0.994944
2104,9,6,18,0.987456
2105,9,6,18,0.9957119999999999
2106,9,7,2,0.9978879999999999
2107,9,7,2,0.990208
2108,9,7,2,0.97248
2109,9,7,4,0.9392639999999999
2110,9,7,4,0.9786239999999999
2111,9,7,4,0.990528
2112,9,7,6,0.988288
2113,9,7,6,0.987776
2114,9,7,6,0.984832
2115,9,7,8,0.985792
2116,9,7,8,0.99456
2117,9,7,8,0.9890559999999999
2118,9,7,10,0.990336
2119,9,7,10,0.982464
2120,9,7,10,0.98048
2121,9,7,12,0.9914879999999999
2122,9,7,12,0.9823999999999999
2123,9,7,12,0.9923839999999999
2124,9,7,14,0.9898240000000001
2125,9,7,14,0.9941760000000001
2126,9,7,14,0.992192
2127,9,7,16,0.9905919999999999
2128,9,7,16,0.9834879999999999
2129,9,7,16,0.986944
2130,9,7,18,0.990592
2131,9,7,18,0.975808
2132,9,7,18,0.9865600000000001
2133,9,8,2,0.992704
2134,9,8,2,0.8082560000000001
2135,9,8,2,0.9985280000000001
2136,9,8,4,0.9927680000000001
2137,9,8,4,0.9881599999999999
2138,9,8,4,0.986688
2139,9,8,6,0.98592
2140,9,8,6,0.995456
2141,9,8,6,0.995776
2142,9,8,8,0.9872000000000001
2143,9,8,8,0.9848959999999999
2144,9,8,8,0.9989760000000001
2145,9,8,10,0.9896960000000001
2146,9,8,10,0.9875200000000001
2147,9,8,10,0.990016
2148,9,8,12,0.9934080000000001
2149,9,8,12,0.991104
2150,9,8,12,0.98848
2151,9,8,14,0.989504
2152,9,8,14,0.987008
2153,9,8,14,0.97792
2154,9,8,16,0.9907840000000001
2155,9,8,16,0.983488
2156,9,8,16,0.973568
2157,9,8,18,0.982272
2158,9,8,18,0.9788159999999999
2159,9,8,18,0.99456
2160,9,9,2,0.9867520000000001
2161,9,9,2,0.987456
2162,9,9,2,0.963136
2163,9,9,4,0.991232
2164,9,9,4,0.9920000000000001
2165,9,9,4,0.9848960000000001
2166,9,9,6,0.979904
2167,9,9,6,0.99808
2168,9,9,6,0.97312
2169,9,9,8,0.9841920000000001
2170,9,9,8,0.983744
2171,9,9,8,0.9883519999999999
2172,9,9,10,0.988544
2173,9,9,10,0.9807999999999999
2174,9,9,10,0.9956480000000001
2175,9,9,12,0.9927680000000001
2176,9,9,12,0.982976
2177,9,9,12,0.98912
2178,9,9,14,0.9935360000000001
2179,9,9,14,0.985024
2180,9,9,14,0.9896320000000001
2181,9,9,16,0.9966720000000001
2182,9,9,16,0.9914240000000001
2183,9,9,16,0.9904
2184,9,9,18,0.998336
2185,9,9,18,0.9867520000000001
2186,9,9,18,0.985792
